"ano (nome)","Ano","localidade (nome)","uf","ano","nascidos"
2015,"3.017.668","Brasil",NA,2015,"3.017.668"
2015,"319.770","Norte",NA,2015,"319.770"
2015,"27.889","Rondônia","RO",2015,"27.889"
2015,"17.676","Acre","AC",2015,"17.676"
2015,"79.531","Amazonas","AM",2015,"79.531"
2015,"11.409","Roraima","RR",2015,"11.409"
2015,"141.556","Pará","PA",2015,"141.556"
2015,"17.100","Amapá","AP",2015,"17.100"
2015,"24.609","Tocantins","TO",2015,"24.609"
2015,"847.082","Nordeste",NA,2015,"847.082"
2015,"115.893","Maranhão","MA",2015,"115.893"
2015,"51.716","Piauí","PI",2015,"51.716"
2015,"132.721","Ceará","CE",2015,"132.721"
2015,"49.527","Rio Grande do Norte","RN",2015,"49.527"
2015,"58.828","Paraíba","PB",2015,"58.828"
2015,"146.209","Pernambuco","PE",2015,"146.209"
2015,"51.774","Alagoas","AL",2015,"51.774"
2015,"36.207","Sergipe","SE",2015,"36.207"
2015,"204.207","Bahia","BA",2015,"204.207"
2015,"1.196.970","Sudeste",NA,2015,"1.196.970"
2015,"267.873","Minas Gerais","MG",2015,"267.873"
2015,"56.399","Espírito Santo","ES",2015,"56.399"
2015,"237.071","Rio de Janeiro","RJ",2015,"237.071"
2015,"635.627","São Paulo","SP",2015,"635.627"
2015,"406.232","Sul",NA,2015,"406.232"
2015,"160.403","Paraná","PR",2015,"160.403"
2015,"97.414","Santa Catarina","SC",2015,"97.414"
2015,"148.415","Rio Grande do Sul","RS",2015,"148.415"
2015,"247.614","Centro-Oeste",NA,2015,"247.614"
2015,"43.665","Mato Grosso do Sul","MS",2015,"43.665"
2015,"56.617","Mato Grosso","MT",2015,"56.617"
2015,"87.673","Goiás","GO",2015,"87.673"
2015,"59.659","Distrito Federal","DF",2015,"59.659"
2016,"2.857.800","Brasil",NA,2016,"2.857.800"
2016,"306.530","Norte",NA,2016,"306.530"
2016,"26.706","Rondônia","RO",2016,"26.706"
2016,"16.333","Acre","AC",2016,"16.333"
2016,"76.208","Amazonas","AM",2016,"76.208"
2016,"11.362","Roraima","RR",2016,"11.362"
2016,"135.701","Pará","PA",2016,"135.701"
2016,"16.850","Amapá","AP",2016,"16.850"
2016,"23.370","Tocantins","TO",2016,"23.370"
2016,"796.766","Nordeste",NA,2016,"796.766"
2016,"108.537","Maranhão","MA",2016,"108.537"
2016,"49.693","Piauí","PI",2016,"49.693"
2016,"126.377","Ceará","CE",2016,"126.377"
2016,"45.909","Rio Grande do Norte","RN",2016,"45.909"
2016,"55.724","Paraíba","PB",2016,"55.724"
2016,"131.773","Pernambuco","PE",2016,"131.773"
2016,"47.380","Alagoas","AL",2016,"47.380"
2016,"33.159","Sergipe","SE",2016,"33.159"
2016,"198.214","Bahia","BA",2016,"198.214"
2016,"1.128.096","Sudeste",NA,2016,"1.128.096"
2016,"252.961","Minas Gerais","MG",2016,"252.961"
2016,"52.991","Espírito Santo","ES",2016,"52.991"
2016,"219.174","Rio de Janeiro","RJ",2016,"219.174"
2016,"602.970","São Paulo","SP",2016,"602.970"
2016,"391.548","Sul",NA,2016,"391.548"
2016,"154.636","Paraná","PR",2016,"154.636"
2016,"95.466","Santa Catarina","SC",2016,"95.466"
2016,"141.446","Rio Grande do Sul","RS",2016,"141.446"
2016,"234.860","Centro-Oeste",NA,2016,"234.860"
2016,"42.009","Mato Grosso do Sul","MS",2016,"42.009"
2016,"53.346","Mato Grosso","MT",2016,"53.346"
2016,"83.605","Goiás","GO",2016,"83.605"
2016,"55.900","Distrito Federal","DF",2016,"55.900"
2017,"2.923.535","Brasil",NA,2017,"2.923.535"
2017,"311.509","Norte",NA,2017,"311.509"
2017,"27.523","Rondônia","RO",2017,"27.523"
2017,"17.033","Acre","AC",2017,"17.033"
2017,"77.518","Amazonas","AM",2017,"77.518"
2017,"11.710","Roraima","RR",2017,"11.710"
2017,"136.592","Pará","PA",2017,"136.592"
2017,"16.795","Amapá","AP",2017,"16.795"
2017,"24.338","Tocantins","TO",2017,"24.338"
2017,"818.068","Nordeste",NA,2017,"818.068"
2017,"111.173","Maranhão","MA",2017,"111.173"
2017,"51.147","Piauí","PI",2017,"51.147"
2017,"127.853","Ceará","CE",2017,"127.853"
2017,"46.709","Rio Grande do Norte","RN",2017,"46.709"
2017,"57.291","Paraíba","PB",2017,"57.291"
2017,"136.803","Pernambuco","PE",2017,"136.803"
2017,"49.744","Alagoas","AL",2017,"49.744"
2017,"35.061","Sergipe","SE",2017,"35.061"
2017,"202.287","Bahia","BA",2017,"202.287"
2017,"1.152.539","Sudeste",NA,2017,"1.152.539"
2017,"260.424","Minas Gerais","MG",2017,"260.424"
2017,"55.513","Espírito Santo","ES",2017,"55.513"
2017,"223.303","Rio de Janeiro","RJ",2017,"223.303"
2017,"613.299","São Paulo","SP",2017,"613.299"
2017,"397.323","Sul",NA,2017,"397.323"
2017,"157.436","Paraná","PR",2017,"157.436"
2017,"98.279","Santa Catarina","SC",2017,"98.279"
2017,"141.608","Rio Grande do Sul","RS",2017,"141.608"
2017,"244.096","Centro-Oeste",NA,2017,"244.096"
2017,"44.265","Mato Grosso do Sul","MS",2017,"44.265"
2017,"57.202","Mato Grosso","MT",2017,"57.202"
2017,"85.466","Goiás","GO",2017,"85.466"
2017,"57.163","Distrito Federal","DF",2017,"57.163"
2018,"2.944.932","Brasil",NA,2018,"2.944.932"
2018,"318.030","Norte",NA,2018,"318.030"
2018,"28.093","Rondônia","RO",2018,"28.093"
2018,"17.264","Acre","AC",2018,"17.264"
2018,"77.534","Amazonas","AM",2018,"77.534"
2018,"13.315","Roraima","RR",2018,"13.315"
2018,"139.442","Pará","PA",2018,"139.442"
2018,"17.440","Amapá","AP",2018,"17.440"
2018,"24.942","Tocantins","TO",2018,"24.942"
2018,"837.591","Nordeste",NA,2018,"837.591"
2018,"115.158","Maranhão","MA",2018,"115.158"
2018,"52.248","Piauí","PI",2018,"52.248"
2018,"131.540","Ceará","CE",2018,"131.540"
2018,"48.641","Rio Grande do Norte","RN",2018,"48.641"
2018,"60.092","Paraíba","PB",2018,"60.092"
2018,"139.057","Pernambuco","PE",2018,"139.057"
2018,"52.004","Alagoas","AL",2018,"52.004"
2018,"35.455","Sergipe","SE",2018,"35.455"
2018,"203.396","Bahia","BA",2018,"203.396"
2018,"1.147.601","Sudeste",NA,2018,"1.147.601"
2018,"263.067","Minas Gerais","MG",2018,"263.067"
2018,"56.337","Espírito Santo","ES",2018,"56.337"
2018,"220.495","Rio de Janeiro","RJ",2018,"220.495"
2018,"607.702","São Paulo","SP",2018,"607.702"
2018,"395.674","Sul",NA,2018,"395.674"
2018,"156.227","Paraná","PR",2018,"156.227"
2018,"99.395","Santa Catarina","SC",2018,"99.395"
2018,"140.052","Rio Grande do Sul","RS",2018,"140.052"
2018,"246.036","Centro-Oeste",NA,2018,"246.036"
2018,"43.767","Mato Grosso do Sul","MS",2018,"43.767"
2018,"58.548","Mato Grosso","MT",2018,"58.548"
2018,"86.613","Goiás","GO",2018,"86.613"
2018,"57.108","Distrito Federal","DF",2018,"57.108"
2019,"2.849.146","Brasil",NA,2019,"2.849.146"
2019,"312.669","Norte",NA,2019,"312.669"
2019,"26.937","Rondônia","RO",2019,"26.937"
2019,"17.048","Acre","AC",2019,"17.048"
2019,"77.098","Amazonas","AM",2019,"77.098"
2019,"14.586","Roraima","RR",2019,"14.586"
2019,"136.064","Pará","PA",2019,"136.064"
2019,"16.902","Amapá","AP",2019,"16.902"
2019,"24.034","Tocantins","TO",2019,"24.034"
2019,"805.825","Nordeste",NA,2019,"805.825"
2019,"111.336","Maranhão","MA",2019,"111.336"
2019,"50.464","Piauí","PI",2019,"50.464"
2019,"129.158","Ceará","CE",2019,"129.158"
2019,"44.623","Rio Grande do Norte","RN",2019,"44.623"
2019,"57.413","Paraíba","PB",2019,"57.413"
2019,"134.419","Pernambuco","PE",2019,"134.419"
2019,"49.638","Alagoas","AL",2019,"49.638"
2019,"33.724","Sergipe","SE",2019,"33.724"
2019,"195.050","Bahia","BA",2019,"195.050"
2019,"1.103.532","Sudeste",NA,2019,"1.103.532"
2019,"256.456","Minas Gerais","MG",2019,"256.456"
2019,"54.491","Espírito Santo","ES",2019,"54.491"
2019,"207.964","Rio de Janeiro","RJ",2019,"207.964"
2019,"584.621","São Paulo","SP",2019,"584.621"
2019,"385.914","Sul",NA,2019,"385.914"
2019,"153.564","Paraná","PR",2019,"153.564"
2019,"97.775","Santa Catarina","SC",2019,"97.775"
2019,"134.575","Rio Grande do Sul","RS",2019,"134.575"
2019,"241.206","Centro-Oeste",NA,2019,"241.206"
2019,"43.241","Mato Grosso do Sul","MS",2019,"43.241"
2019,"58.848","Mato Grosso","MT",2019,"58.848"
2019,"83.649","Goiás","GO",2019,"83.649"
2019,"55.468","Distrito Federal","DF",2019,"55.468"
2020,"2.730.145","Brasil",NA,2020,"2.730.145"
2020,"300.867","Norte",NA,2020,"300.867"
2020,"25.645","Rondônia","RO",2020,"25.645"
2020,"15.945","Acre","AC",2020,"15.945"
2020,"75.073","Amazonas","AM",2020,"75.073"
2020,"13.738","Roraima","RR",2020,"13.738"
2020,"130.999","Pará","PA",2020,"130.999"
2020,"15.995","Amapá","AP",2020,"15.995"
2020,"23.472","Tocantins","TO",2020,"23.472"
2020,"770.996","Nordeste",NA,2020,"770.996"
2020,"103.756","Maranhão","MA",2020,"103.756"
2020,"47.865","Piauí","PI",2020,"47.865"
2020,"121.891","Ceará","CE",2020,"121.891"
2020,"44.084","Rio Grande do Norte","RN",2020,"44.084"
2020,"56.125","Paraíba","PB",2020,"56.125"
2020,"130.272","Pernambuco","PE",2020,"130.272"
2020,"48.095","Alagoas","AL",2020,"48.095"
2020,"32.805","Sergipe","SE",2020,"32.805"
2020,"186.103","Bahia","BA",2020,"186.103"
2020,"1.052.832","Sudeste",NA,2020,"1.052.832"
2020,"246.922","Minas Gerais","MG",2020,"246.922"
2020,"53.407","Espírito Santo","ES",2020,"53.407"
2020,"199.066","Rio de Janeiro","RJ",2020,"199.066"
2020,"553.437","São Paulo","SP",2020,"553.437"
2020,"374.825","Sul",NA,2020,"374.825"
2020,"146.471","Paraná","PR",2020,"146.471"
2020,"97.754","Santa Catarina","SC",2020,"97.754"
2020,"130.600","Rio Grande do Sul","RS",2020,"130.600"
2020,"230.625","Centro-Oeste",NA,2020,"230.625"
2020,"40.870","Mato Grosso do Sul","MS",2020,"40.870"
2020,"57.012","Mato Grosso","MT",2020,"57.012"
2020,"80.255","Goiás","GO",2020,"80.255"
2020,"52.488","Distrito Federal","DF",2020,"52.488"
2021,"2.677.101","Brasil",NA,2021,"2.677.101"
2021,"308.497","Norte",NA,2021,"308.497"
2021,"25.307","Rondônia","RO",2021,"25.307"
2021,"16.562","Acre","AC",2021,"16.562"
2021,"77.839","Amazonas","AM",2021,"77.839"
2021,"13.863","Roraima","RR",2021,"13.863"
2021,"135.265","Pará","PA",2021,"135.265"
2021,"16.389","Amapá","AP",2021,"16.389"
2021,"23.272","Tocantins","TO",2021,"23.272"
2021,"766.454","Nordeste",NA,2021,"766.454"
2021,"106.251","Maranhão","MA",2021,"106.251"
2021,"48.729","Piauí","PI",2021,"48.729"
2021,"120.262","Ceará","CE",2021,"120.262"
2021,"44.116","Rio Grande do Norte","RN",2021,"44.116"
2021,"55.757","Paraíba","PB",2021,"55.757"
2021,"127.916","Pernambuco","PE",2021,"127.916"
2021,"48.664","Alagoas","AL",2021,"48.664"
2021,"32.283","Sergipe","SE",2021,"32.283"
2021,"182.476","Bahia","BA",2021,"182.476"
2021,"1.010.060","Sudeste",NA,2021,"1.010.060"
2021,"241.785","Minas Gerais","MG",2021,"241.785"
2021,"52.115","Espírito Santo","ES",2021,"52.115"
2021,"189.821","Rio de Janeiro","RJ",2021,"189.821"
2021,"526.339","São Paulo","SP",2021,"526.339"
2021,"362.794","Sul",NA,2021,"362.794"
2021,"142.197","Paraná","PR",2021,"142.197"
2021,"96.248","Santa Catarina","SC",2021,"96.248"
2021,"124.349","Rio Grande do Sul","RS",2021,"124.349"
2021,"229.296","Centro-Oeste",NA,2021,"229.296"
2021,"41.800","Mato Grosso do Sul","MS",2021,"41.800"
2021,"57.900","Mato Grosso","MT",2021,"57.900"
2021,"78.369","Goiás","GO",2021,"78.369"
2021,"51.227","Distrito Federal","DF",2021,"51.227"
2022,"2.561.922","Brasil",NA,2022,"2.561.922"
2022,"288.536","Norte",NA,2022,"288.536"
2022,"24.811","Rondônia","RO",2022,"24.811"
2022,"15.193","Acre","AC",2022,"15.193"
2022,"72.056","Amazonas","AM",2022,"72.056"
2022,"13.056","Roraima","RR",2022,"13.056"
2022,"126.071","Pará","PA",2022,"126.071"
2022,"15.065","Amapá","AP",2022,"15.065"
2022,"22.284","Tocantins","TO",2022,"22.284"
2022,"709.216","Nordeste",NA,2022,"709.216"
2022,"95.898","Maranhão","MA",2022,"95.898"
2022,"44.591","Piauí","PI",2022,"44.591"
2022,"112.549","Ceará","CE",2022,"112.549"
2022,"40.572","Rio Grande do Norte","RN",2022,"40.572"
2022,"50.930","Paraíba","PB",2022,"50.930"
2022,"118.135","Pernambuco","PE",2022,"118.135"
2022,"45.781","Alagoas","AL",2022,"45.781"
2022,"29.514","Sergipe","SE",2022,"29.514"
2022,"171.246","Bahia","BA",2022,"171.246"
2022,"980.010","Sudeste",NA,2022,"980.010"
2022,"234.232","Minas Gerais","MG",2022,"234.232"
2022,"51.621","Espírito Santo","ES",2022,"51.621"
2022,"180.278","Rio de Janeiro","RJ",2022,"180.278"
2022,"513.879","São Paulo","SP",2022,"513.879"
2022,"359.611","Sul",NA,2022,"359.611"
2022,"140.824","Paraná","PR",2022,"140.824"
2022,"97.871","Santa Catarina","SC",2022,"97.871"
2022,"120.916","Rio Grande do Sul","RS",2022,"120.916"
2022,"224.549","Centro-Oeste",NA,2022,"224.549"
2022,"40.188","Mato Grosso do Sul","MS",2022,"40.188"
2022,"58.059","Mato Grosso","MT",2022,"58.059"
2022,"77.526","Goiás","GO",2022,"77.526"
2022,"48.776","Distrito Federal","DF",2022,"48.776"
